Address,Balance,Transaction count,inEther,outEther,feeEther,inCall,outCall,Call count,,,,,
0x7e5f4552091a69125d5dfcb7b8c2659029395bdf,0,51,0.179583,0.020408,0.159176,14,31,45,,,,,
0x2b5ad5c4795c026514f8317c7a215e218dccd6cf,0,142,0.071759,0.038057,0.494223,37,24,61,,,,,
0x6813eb9362372eef6200f3b1dbc3f819671cba69,0,39,0.095176,1.731074,0.004247,15,31,46,,,,,
0x1eff47bc3a10a45d4b230b5d10e37751fe6aa718,0,248,0.004695,0.214451,0.057118,13,65,78,,,,,
0xe1ab8145f7e55dc933d51a18c793f901a3a0b276,0,711,0.708674,0.000448,0.058663,289,27,316,,,,,
0xe57bfe9f44b819898f47bf37e5af72a0783e1141,0,50,4.423315,0.001416,0.012157,307,383,690,,,,,
0xd41c057fd1c78805aac12b0a94a405c0461a6fbb,0,34,0.013574,0.000386,2.692241,8,309,317,,,,,
0xf1f6619b38a98d6de0800f1defc0a6399eb6d30c,0,711,0.014395,0.013096,0.014009,11,24,35,,,,,
0xf7edc8fa1ecc32967f827c9043fcae6ba73afa5c,0,63,0.421203,0.331997,0.089207,22,36,58,,,,,
0x4cceba2d7d2b4fdce4304d3e09a1fea9fbeb1528,0,64,0.164288,0.01269,0.151599,14,26,40,,,,,
0x3da8d322cb2435da26e9c9fee670f9fb7fe74e49,0,50,0.35165,0.297809,0.297805,26,41,67,,,,,
0xdbc23ae43a150ff8884b02cea117b22d1c3b9796,0,75,0.436323,0.053844,0.000961,23,87,110,,,,,
0x68e527780872cda0216ba0d8fbd58b67a5d5e351,0,76,5.14805,0.407781,4.74027,30,20,50,,,,,
0x5a83529ff76ac5723a87008c4d9b436ad4ca7d28,0,386,0.577921,0.048928,0.138514,85,46,131,,,,,
0x8735015837bd10e05d9cf5ea43a2486bf4be156f,0,917,0.006148,0.000093,0.528994,7,42,49,,,,,
0xfae394561e33e242c551d15d4625309ea4c0b97f,0,28,0.074319,0.000516,0.005632,6,16,22,,,,,
0x252dae0a4b9d9b80f504f6418acd2d364c0c59cd,0,30,0.001054,0.052696,0.06661,8,47,55,,,,,
0x79196b90d1e952c5a43d4847caa08d50b967c34a,0,14,0.080406,0.013796,0.021623,28,22,50,,,,,
0x4bd1280852cadb002734647305afc1db7ddd6acb,0,8,0.001,0,0.001,0,13,13,,,,,
